MSZoning,LotFrontage,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,AgeSold,LayoutType,TotalBaths,Total_sqft
RL,91.0,12968,Sawyer,1Fam,1Story,5,1962,HdBoard,Plywood,None,TA,CBlock,TA,TA,No,737,175,912,TA,Y,912,0,912,1,2,TA,4,0,Detchd,1962.0,Unf,1,352,140,0,144000,46,Few Rooms,1.0,2736
RL,91.0,10652,CollgCr,1Fam,1Story,7,2007,VinylSd,VinylSd,Stone,Gd,PConc,Gd,TA,Av,0,1494,1494,Ex,Y,1494,0,1494,0,3,Gd,7,1,Attchd,2006.0,RFn,3,840,160,33,279500,1,Typical Layout,2.0,4482
RL,51.0,10920,NAmes,1Fam,1Story,6,1960,MetalSd,MetalSd,BrkFace,TA,CBlock,TA,TA,No,733,520,1253,TA,Y,1253,0,1253,1,2,TA,5,1,Attchd,1960.0,RFn,1,352,0,213,157000,48,Few Rooms,1.5,3759
RM,51.0,6120,BrkSide,1Fam,1.5Unf,7,2001,Wd Sdng,Wd Sdng,None,TA,BrkTil,TA,TA,No,0,832,832,Ex,Y,854,0,854,0,2,TA,5,0,Detchd,1991.0,Unf,2,576,48,112,132000,78,Few Rooms,1.0,2540
RL,72.0,11241,NAmes,1Fam,1Story,6,1970,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,TA,No,578,426,1004,Ex,Y,1004,0,1004,1,2,TA,5,1,Attchd,1970.0,Fin,2,480,0,0,149000,40,Few Rooms,1.0,3012
RL,72.0,10791,Sawyer,Duplex,1Story,4,1967,MetalSd,MetalSd,None,TA,Slab,None,None,None,0,0,0,TA,Y,1296,0,1296,0,2,TA,6,0,CarPort,1967.0,Unf,2,516,0,0,90000,39,Typical Layout,2.0,2592
RL,66.0,13695,SawyerW,1Fam,1Story,5,2004,VinylSd,VinylSd,None,TA,PConc,TA,TA,No,646,468,1114,Ex,Y,1114,0,1114,1,3,Gd,6,0,Detchd,2004.0,Unf,2,576,0,102,159000,4,Typical Layout,1.5,3342
RL,70.0,7560,NAmes,1Fam,1Story,5,1965,BrkFace,Plywood,None,TA,CBlock,TA,TA,No,504,525,1029,TA,Y,1339,0,1339,0,3,TA,6,0,Attchd,1958.0,Unf,1,294,0,0,139000,51,Typical Layout,1.0,3707
RL,101.0,14215,NridgHt,1Fam,2Story,8,2006,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,TA,Av,0,1158,1158,Ex,Y,1158,1218,2376,0,4,Gd,9,1,BuiltIn,2005.0,RFn,3,853,240,154,325300,1,Many Rooms,3.5,5910
RM,57.0,7449,IDOTRR,1Fam,1.5Unf,7,1950,Wd Sdng,Wd Sdng,None,TA,PConc,TA,TA,No,0,637,637,Ex,Y,1108,0,1108,0,3,Gd,6,1,Attchd,1930.0,Unf,1,280,0,0,139400,77,Typical Layout,1.0,2853
RL,75.0,9742,CollgCr,1Fam,1Story,8,2002,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,No,0,1777,1777,Ex,Y,1795,0,1795,0,3,Gd,7,1,Attchd,2002.0,RFn,2,534,171,159,230000,6,Typical Layout,2.0,5367
RM,44.0,4224,MeadowV,TwnhsE,1Story,5,1976,CemntBd,CmentBd,None,TA,PConc,Gd,TA,No,840,200,1040,TA,Y,1060,0,1060,1,3,TA,6,1,Attchd,1976.0,Unf,2,572,100,110,129900,31,Typical Layout,1.0,3160
RL,110.0,8246,Sawyer,1Fam,1Story,5,2001,Plywood,Plywood,None,TA,CBlock,TA,TA,Mn,188,204,1060,Ex,Y,1060,0,1060,1,3,Gd,6,1,Attchd,1968.0,Unf,1,270,406,90,154000,42,Typical Layout,1.0,3180
RL,110.0,14230,NridgHt,1Fam,1Story,8,2007,VinylSd,VinylSd,Stone,Gd,PConc,Gd,TA,No,0,1566,1566,Ex,Y,1600,0,1600,0,3,Gd,7,1,Attchd,2007.0,RFn,3,890,0,56,256300,2,Typical Layout,2.0,4766
RL,60.0,7200,NAmes,1Fam,1Story,5,2000,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,TA,Mn,234,180,900,TA,Y,900,0,900,0,3,Gd,5,0,Detchd,2005.0,Unf,2,576,222,32,134800,59,Few Rooms,1.0,2700
RL,98.0,11478,NridgHt,1Fam,1Story,8,2008,VinylSd,VinylSd,Stone,Gd,PConc,Ex,TA,No,1218,486,1704,Ex,Y,1704,0,1704,1,3,Gd,7,1,Attchd,2008.0,RFn,3,772,0,50,306000,3,Typical Layout,2.0,5112
RL,47.0,16321,NAmes,1Fam,1Story,5,1997,MetalSd,MetalSd,None,TA,CBlock,TA,TA,Gd,1277,207,1484,TA,Y,1600,0,1600,1,2,TA,6,2,Attchd,1957.0,RFn,1,319,288,258,207500,49,Typical Layout,1.0,4684
RM,60.0,6324,BrkSide,1Fam,1Story,4,1950,MetalSd,MetalSd,None,TA,BrkTil,TA,TA,No,0,520,520,Fa,N,520,0,520,0,1,Fa,4,0,Detchd,1920.0,Unf,1,240,49,0,68500,81,Few Rooms,1.0,1560
C (all),50.0,8500,IDOTRR,1Fam,2Story,4,1950,BrkFace,BrkFace,None,TA,BrkTil,TA,TA,No,0,649,649,TA,N,649,668,1317,0,3,TA,6,0,Detchd,1920.0,Unf,1,250,0,54,40000,88,Typical Layout,1.0,3283
RL,85.0,8544,Sawyer,1Fam,1Story,5,2006,HdBoard,HdBoard,None,TA,CBlock,TA,TA,No,0,1228,1228,Gd,Y,1228,0,1228,0,3,Gd,6,0,Attchd,1966.0,Unf,1,271,0,65,149350,42,Typical Layout,1.5,3684
RL,85.0,11049,CollgCr,1Fam,1Story,8,2007,VinylSd,VinylSd,None,Gd,PConc,Ex,TA,Av,0,1234,1234,Ex,Y,1234,0,1234,0,3,Gd,7,0,Attchd,2007.0,RFn,2,484,0,30,179900,1,Typical Layout,2.0,3702
RL,70.0,10552,NAmes,1Fam,1Story,5,1959,BrkFace,BrkFace,None,TA,CBlock,TA,TA,No,1018,380,1398,Gd,Y,1700,0,1700,0,4,Gd,6,1,Attchd,1959.0,RFn,2,447,0,38,165500,51,Typical Layout,1.5,4798
RL,60.0,7313,NridgHt,TwnhsE,1Story,9,2005,MetalSd,MetalSd,BrkFace,Ex,PConc,Ex,TA,No,1153,408,1561,Ex,Y,1561,0,1561,1,2,Ex,6,1,Attchd,2005.0,Fin,2,556,203,47,277500,2,Typical Layout,2.0,4683
RL,108.0,13418,NridgHt,1Fam,2Story,8,2005,VinylSd,VinylSd,Stone,Gd,PConc,Ex,TA,Av,0,1117,1117,Ex,Y,1132,1320,2452,0,4,Gd,9,1,BuiltIn,2004.0,Fin,3,691,113,32,309000,2,Many Rooms,3.5,6021
RL,112.0,10859,CollgCr,1Fam,1Story,5,1995,VinylSd,VinylSd,None,TA,PConc,Gd,TA,No,0,1097,1097,Ex,Y,1097,0,1097,0,3,TA,6,0,Attchd,1995.0,Unf,2,672,392,64,145000,15,Typical Layout,1.5,3291
RL,74.0,8532,NAmes,1Fam,1Story,5,1990,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,TA,No,1213,84,1297,Gd,Y,1297,0,1297,0,3,TA,5,1,Attchd,1954.0,Fin,2,498,0,0,153000,55,Few Rooms,1.0,3891
RL,68.0,7922,NAmes,1Fam,1Story,5,2007,VinylSd,VinylSd,None,TA,CBlock,TA,TA,No,731,326,1057,TA,Y,1057,0,1057,1,3,Gd,5,0,Detchd,1953.0,Unf,1,246,0,52,109000,57,Few Rooms,1.0,3171
RL,65.0,6040,Edwards,Duplex,1Story,4,1955,AsbShng,Plywood,None,TA,PConc,None,None,None,0,0,0,TA,N,1152,0,1152,0,2,Fa,6,0,None,1965.0,None,0,0,0,0,82000,53,Typical Layout,2.0,2304
RL,84.0,8658,NAmes,1Fam,1Story,6,1965,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,TA,No,643,445,1088,Ex,Y,1324,0,1324,0,3,TA,6,1,Attchd,1965.0,RFn,2,440,0,138,160000,41,Typical Layout,2.0,3736
RL,115.0,16905,Timber,1Fam,1Story,5,1959,VinylSd,VinylSd,None,TA,CBlock,TA,TA,Gd,967,383,1350,Gd,Y,1328,0,1328,0,2,TA,5,2,Attchd,1959.0,RFn,1,308,0,104,170000,48,Few Rooms,1.5,4006
RL,53.0,9180,SawyerW,1Fam,SFoyer,5,1983,HdBoard,HdBoard,None,TA,CBlock,Gd,TA,Av,747,0,840,Gd,Y,884,0,884,1,2,Gd,5,0,Attchd,1983.0,RFn,2,504,240,0,144000,24,Few Rooms,1.0,2608
RL,70.0,9200,CollgCr,1Fam,1Story,5,1980,VinylSd,VinylSd,None,TA,CBlock,Gd,TA,Av,280,167,938,TA,Y,938,0,938,1,3,TA,5,0,Detchd,1977.0,Unf,1,308,145,0,130250,33,Few Rooms,1.0,2814
RL,70.0,7945,NAmes,1Fam,1Story,5,1959,BrkFace,Wd Sdng,None,TA,CBlock,TA,TA,No,179,465,1150,Ex,Y,1150,0,1150,1,3,TA,6,0,Attchd,1959.0,RFn,1,300,0,0,141000,47,Typical Layout,1.0,3450
RL,61.0,7658,NridgHt,TwnhsE,1Story,9,2005,MetalSd,MetalSd,BrkFace,Ex,PConc,Ex,TA,No,456,1296,1752,Ex,Y,1752,0,1752,1,2,Ex,6,1,Attchd,2005.0,RFn,2,576,196,82,319900,5,Typical Layout,2.0,5256
RL,48.0,12822,Mitchel,1Fam,1.5Fin,7,2003,VinylSd,VinylSd,None,Gd,PConc,Ex,TA,No,1351,83,1434,Ex,Y,1518,631,2149,1,1,Gd,6,1,Attchd,2003.0,RFn,2,670,168,43,239686,6,Typical Layout,1.5,5732
FV,84.0,11096,Somerst,1Fam,1Story,8,2006,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,Av,24,1632,1656,Ex,Y,1656,0,1656,0,3,Gd,7,0,Attchd,2006.0,RFn,3,826,0,146,249700,1,Typical Layout,2.0,4968
RM,33.0,4456,OldTown,2fmCon,2Story,4,2008,MetalSd,MetalSd,None,TA,BrkTil,TA,TA,No,0,736,736,Gd,Y,736,716,1452,0,2,TA,8,0,None,1966.0,None,0,0,0,0,113000,89,Typical Layout,2.0,3640
RL,66.0,7742,Sawyer,1Fam,1Story,5,1966,HdBoard,HdBoard,None,TA,CBlock,TA,TA,No,763,192,955,Ex,Y,955,0,955,1,3,TA,6,0,Attchd,1966.0,Unf,1,386,0,0,127000,41,Typical Layout,1.0,2865
RL,52.0,13869,Gilbert,1Fam,2Story,6,1997,VinylSd,VinylSd,None,TA,PConc,Gd,TA,Av,182,612,794,Gd,Y,794,676,1470,0,3,TA,6,0,Attchd,1997.0,Fin,2,388,0,75,177000,10,Typical Layout,2.0,3734
RM,52.0,6240,BrkSide,1Fam,1.5Fin,6,1950,Wd Sdng,Wd Sdng,None,TA,PConc,TA,TA,No,0,816,816,TA,Y,816,0,1176,0,3,TA,6,1,Detchd,1985.0,Unf,2,528,112,0,114500,72,Typical Layout,1.0,2808
RM,110.0,8472,IDOTRR,Duplex,1Story,5,1963,Wd Sdng,Wd Sdng,None,Fa,CBlock,Gd,TA,Gd,104,0,816,TA,N,816,0,816,1,2,TA,5,0,CarPort,1963.0,Unf,2,516,106,0,110000,47,Few Rooms,1.0,2448
RL,68.0,50271,Veenker,1Fam,1Story,9,1987,WdShing,Wd Shng,None,Gd,CBlock,Ex,TA,Gd,1810,32,1842,Gd,Y,1842,0,1842,2,0,Gd,5,1,Attchd,1981.0,Fin,3,894,857,72,385000,25,Few Rooms,0.5,5526
RL,60.0,7134,NAmes,1Fam,SLvl,5,1955,MetalSd,MetalSd,None,TA,CBlock,TA,TA,No,384,0,384,TA,Y,1360,0,1360,0,3,TA,6,1,Detchd,1962.0,Unf,2,572,0,50,130000,52,Typical Layout,1.0,3104
RL,100.0,10175,NAmes,1Fam,1Story,6,1964,HdBoard,Plywood,BrkFace,TA,CBlock,TA,TA,No,490,935,1425,Gd,Y,1425,0,1425,0,3,TA,7,1,Attchd,1964.0,RFn,2,576,0,0,180500,44,Typical Layout,2.0,4275
FV,24.0,2645,Somerst,Twnhs,2Story,8,2000,MetalSd,MetalSd,BrkFace,Gd,PConc,Gd,TA,No,649,321,970,Ex,Y,983,756,1739,1,3,Gd,7,0,Attchd,1999.0,Fin,2,480,115,0,172500,10,Typical Layout,2.5,4448
RL,89.0,11645,CollgCr,1Fam,2Story,7,2004,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,No,0,860,860,Ex,Y,860,860,1720,0,3,Gd,7,0,Attchd,2004.0,RFn,2,565,0,70,196500,2,Typical Layout,2.5,4300
RL,66.0,13682,StoneBr,1Fam,2Story,10,2006,VinylSd,VinylSd,BrkFace,Ex,PConc,Ex,TA,Gd,0,1410,1410,Ex,Y,1426,1519,2945,0,3,Gd,10,1,BuiltIn,2006.0,Fin,3,641,192,0,438780,0,Many Rooms,3.5,7300
RL,60.0,7200,CollgCr,1Fam,1Story,5,1972,HdBoard,HdBoard,None,TA,CBlock,TA,TA,Av,632,148,780,Ex,Y,780,0,780,0,2,TA,4,0,Detchd,1973.0,Unf,1,352,196,0,124900,36,Few Rooms,1.0,2340
RL,63.0,13072,SawyerW,1Fam,1Story,6,2004,VinylSd,VinylSd,None,TA,PConc,Gd,TA,No,941,217,1158,Ex,Y,1158,0,1158,1,3,Gd,5,0,Detchd,2006.0,Unf,2,576,0,50,158000,2,Few Rooms,1.5,3474
RM,60.0,7200,IDOTRR,1Fam,2.5Unf,5,1996,MetalSd,MetalSd,None,TA,BrkTil,TA,Fa,No,0,530,530,TA,N,581,530,1111,0,3,Fa,6,0,Detchd,1935.0,Unf,1,288,0,0,101000,87,Typical Layout,1.0,2752
RL,44.0,6442,NridgHt,TwnhsE,1Story,8,2006,VinylSd,VinylSd,Stone,Gd,PConc,Gd,Gd,Mn,24,1346,1370,Ex,Y,1370,0,1370,0,2,Gd,6,1,Attchd,2006.0,RFn,2,484,120,49,202500,1,Typical Layout,2.0,4110
RM,50.0,10300,OldTown,1Fam,2Story,7,1950,Stucco,Stucco,None,TA,BrkTil,TA,TA,No,0,576,576,Gd,Y,902,808,1710,0,3,TA,9,0,Detchd,1990.0,Unf,2,480,12,11,140000,89,Many Rooms,2.0,3996
RL,76.0,9375,CollgCr,1Fam,2Story,7,1998,VinylSd,VinylSd,BrkFace,TA,PConc,Gd,TA,No,739,318,1057,Ex,Y,1057,977,2034,1,3,Gd,8,0,Attchd,1998.0,RFn,2,645,576,36,219500,12,Typical Layout,2.5,5125
RL,76.0,9591,NridgHt,1Fam,2Story,8,2005,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,TA,Av,0,1143,1143,Ex,Y,1143,1330,2473,0,4,Gd,9,1,BuiltIn,2004.0,RFn,3,852,192,151,317000,3,Many Rooms,2.5,6089
RL,72.0,19900,NAmes,1Fam,1Story,7,1989,Plywood,Plywood,BrkFace,TA,CBlock,Gd,TA,Gd,912,1035,1947,TA,Y,2207,0,2207,1,3,TA,7,1,Attchd,1970.0,RFn,2,576,301,0,180000,40,Typical Layout,2.0,6361
RL,72.0,10665,CollgCr,1Fam,1Story,7,2003,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,Av,1013,440,1453,Ex,Y,1479,0,1479,1,3,Gd,7,0,Attchd,2003.0,RFn,2,558,144,29,226000,4,Typical Layout,2.0,4411
RM,47.0,4608,OldTown,1Fam,1Story,4,1950,MetalSd,MetalSd,None,TA,CBlock,TA,TA,No,0,747,747,TA,Y,747,0,747,0,2,TA,4,0,Attchd,1945.0,Unf,1,220,0,0,80000,65,Few Rooms,1.0,2241
RL,81.0,15593,ClearCr,1Fam,1.5Fin,7,1953,BrkFace,AsbShng,None,Gd,CBlock,TA,TA,No,603,701,1304,TA,Y,1304,983,2287,0,3,TA,7,1,Attchd,1953.0,Fin,2,667,0,21,225000,53,Typical Layout,2.0,5878
RL,95.0,13651,NAmes,1Fam,1Story,7,1973,Plywood,Plywood,BrkFace,TA,CBlock,Gd,TA,Gd,1880,343,2223,Ex,Y,2223,0,2223,1,3,TA,8,2,Attchd,1973.0,Fin,2,516,300,0,244000,34,Typical Layout,2.0,6669
RL,69.0,7599,Mitchel,1Fam,1Story,4,2006,HdBoard,Plywood,None,TA,CBlock,TA,TA,No,565,280,845,TA,Y,845,0,845,1,2,TA,4,0,Detchd,1987.0,Unf,2,360,0,0,129500,25,Few Rooms,1.0,2535
RL,74.0,10141,Gilbert,1Fam,2Story,7,1998,VinylSd,VinylSd,BrkFace,TA,PConc,Gd,TA,No,0,832,832,Gd,Y,885,833,1718,0,3,TA,7,1,Attchd,1998.0,Fin,2,427,0,94,185000,11,Typical Layout,2.5,4268
RL,85.0,10200,NAmes,1Fam,1Story,5,2003,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,TA,No,320,404,1086,Gd,Y,1086,0,1086,1,3,TA,6,0,Attchd,1989.0,Unf,2,490,0,0,144900,56,Typical Layout,1.0,3258
RM,60.0,5790,OldTown,1Fam,2Story,3,1950,VinylSd,VinylSd,None,Gd,CBlock,Fa,TA,No,0,840,840,Gd,N,840,765,1605,0,3,TA,8,0,Detchd,1915.0,Unf,1,379,0,0,107400,95,Typical Layout,2.0,4050
RM,21.0,1596,MeadowV,Twnhs,SLvl,4,1973,CemntBd,CmentBd,None,TA,CBlock,Gd,TA,Gd,462,0,462,TA,Y,526,462,988,1,2,TA,5,0,BuiltIn,1973.0,Unf,1,297,120,101,91000,36,Few Rooms,1.0,2438
RL,50.0,8475,NAmes,1Fam,1Story,4,1956,VinylSd,VinylSd,None,TA,CBlock,TA,TA,No,228,724,952,Ex,Y,952,0,952,0,2,TA,4,0,Detchd,1956.0,Unf,1,283,0,0,135750,52,Few Rooms,1.0,2856
RM,50.0,8635,BrkSide,1Fam,1.5Fin,5,2001,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,TA,No,336,295,672,TA,Y,1072,213,1285,1,2,TA,6,0,Detchd,1948.0,Unf,1,240,0,0,127000,60,Typical Layout,1.0,3242
RL,72.0,10778,Sawyer,Duplex,1Story,4,1968,HdBoard,HdBoard,None,TA,CBlock,TA,TA,No,0,1768,1768,TA,N,1768,0,1768,0,4,TA,8,0,None,1966.0,None,0,0,0,0,136500,42,Typical Layout,2.0,5304
RM,60.0,10440,OldTown,1Fam,2Story,5,1981,Wd Sdng,Wd Sdng,None,TA,PConc,TA,TA,No,0,440,440,Gd,Y,682,548,1230,0,2,TA,5,0,Detchd,1966.0,Unf,2,440,74,0,110000,99,Few Rooms,1.5,2900
RL,100.0,13000,NAmes,1Fam,2Story,6,1968,VinylSd,VinylSd,BrkFace,TA,CBlock,Gd,TA,No,448,448,896,TA,Y,1182,960,2142,0,4,Gd,8,1,Attchd,1968.0,Fin,1,509,0,72,193500,41,Typical Layout,2.5,5180
RM,32.0,4500,Mitchel,TwnhsE,1Story,6,1998,VinylSd,VinylSd,BrkFace,TA,PConc,Ex,Gd,No,1201,36,1237,Ex,Y,1337,0,1337,1,2,TA,5,0,Attchd,1998.0,Fin,2,405,0,199,153500,8,Few Rooms,2.0,3911
RL,78.0,10206,Somerst,1Fam,1Story,8,2007,VinylSd,VinylSd,Stone,TA,PConc,Gd,TA,No,33,1530,1563,Ex,Y,1563,0,1563,0,3,Gd,6,1,Attchd,2007.0,RFn,3,758,144,99,245000,1,Typical Layout,2.0,4689
RL,80.0,8892,NAmes,1Fam,1Story,5,1960,MetalSd,MetalSd,BrkCmn,TA,CBlock,TA,TA,No,0,1065,1065,Gd,Y,1065,0,1065,0,3,TA,6,0,Detchd,1974.0,Unf,2,461,74,0,126500,47,Typical Layout,1.5,3195
RL,121.0,8530,Gilbert,1Fam,SLvl,7,1996,HdBoard,HdBoard,BrkFace,TA,PConc,Gd,TA,No,0,384,384,Gd,Y,804,670,1474,0,3,TA,7,1,BuiltIn,1995.0,Fin,2,400,120,72,168500,14,Typical Layout,2.5,3332
RL,121.0,16059,NoRidge,1Fam,2Story,8,1992,HdBoard,HdBoard,BrkFace,Gd,CBlock,Gd,TA,No,0,1288,1288,Ex,Y,1301,1116,2417,0,4,Gd,9,1,Attchd,1991.0,Unf,2,462,127,82,260000,15,Many Rooms,2.5,6122
RL,122.0,11911,Gilbert,1Fam,2Story,6,2005,VinylSd,VinylSd,None,Gd,PConc,Gd,TA,Av,0,684,684,Ex,Y,684,876,1560,0,3,Gd,6,1,BuiltIn,2005.0,Fin,2,400,100,38,174000,4,Typical Layout,2.5,3804
FV,40.0,3951,Somerst,TwnhsE,2Story,6,2009,VinylSd,VinylSd,Stone,Gd,PConc,Gd,TA,Av,0,612,612,Ex,Y,612,612,1224,0,2,Gd,4,0,Detchd,2009.0,RFn,2,528,0,234,164500,0,Few Rooms,2.5,3060
C (all),105.0,8470,IDOTRR,1Fam,1.5Fin,3,1982,Plywood,Plywood,None,Fa,CBlock,TA,Fa,No,0,1013,1013,TA,N,1013,0,1526,0,2,Fa,6,0,None,1988.0,None,0,0,0,0,85000,94,Typical Layout,1.0,3552
RL,60.0,8070,CollgCr,1Fam,1Story,4,1995,VinylSd,VinylSd,None,TA,PConc,Gd,TA,No,588,402,990,Ex,Y,990,0,990,1,3,TA,5,0,None,1950.0,None,0,0,0,0,123600,13,Few Rooms,1.0,2970
RL,60.0,7200,NAmes,1Fam,1Story,4,1950,BrkFace,Wd Sdng,None,TA,Slab,None,None,None,0,0,0,TA,Y,1040,0,1040,0,2,TA,4,0,Detchd,1950.0,Unf,2,420,0,29,109900,56,Few Rooms,1.0,2080
RL,85.0,8500,NAmes,1Fam,1Story,5,1961,HdBoard,HdBoard,BrkCmn,TA,CBlock,TA,TA,No,600,635,1235,TA,Y,1235,0,1235,0,2,TA,6,0,Attchd,1961.0,Unf,2,480,0,0,98600,45,Typical Layout,1.0,3705
RL,80.0,13360,Crawfor,1Fam,1Story,5,2006,Wd Sdng,Wd Sdng,None,TA,BrkTil,Gd,TA,No,713,163,876,Ex,Y,964,0,964,1,2,TA,5,0,Detchd,1921.0,Unf,2,432,0,0,163500,88,Few Rooms,1.0,2804
C (all),60.0,7200,OldTown,2fmCon,2.5Unf,6,1998,MetalSd,MetalSd,None,TA,BrkTil,TA,Fa,Mn,1046,168,1214,Ex,N,1260,1031,2291,0,4,TA,9,1,Detchd,1900.0,Unf,2,506,0,0,133900,97,Many Rooms,2.0,5796
RL,69.0,9337,CollgCr,1Fam,2Story,6,1997,VinylSd,VinylSd,None,TA,PConc,Gd,TA,No,648,176,824,Ex,Y,905,881,1786,1,3,Gd,7,0,Attchd,1997.0,RFn,2,684,0,162,204750,10,Typical Layout,2.5,4396
RL,78.0,9765,Gilbert,1Fam,2Story,6,1993,VinylSd,VinylSd,BrkFace,Ex,PConc,Gd,Gd,No,310,370,680,Gd,Y,680,790,1470,0,3,TA,6,1,BuiltIn,1993.0,Fin,2,420,232,63,185000,16,Typical Layout,2.5,3620
RL,78.0,10264,CollgCr,1Fam,1Story,7,1999,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,Av,1162,426,1588,Ex,Y,1588,0,1588,0,3,Gd,6,0,Attchd,1999.0,RFn,2,472,158,29,214000,7,Typical Layout,2.0,4764
RL,73.0,10921,Edwards,1Fam,1Story,4,1965,HdBoard,HdBoard,BrkFace,TA,CBlock,TA,TA,No,520,440,960,TA,Y,960,0,960,1,3,TA,6,0,Attchd,1965.0,Fin,1,432,120,0,94750,42,Typical Layout,1.0,2880
